0.8495,0.9116,0.9362,0.9497,0.9569,0.9623,0.9664,0.97,0.9727,0.9751,0.9775,0.9783,0.9796,0.9812,0.9819,0.9822,0.9832,0.9843,0.9855,0.9861,0.9868,0.987,0.9873,0.9879,0.9886,0.9889,0.9891,0.9892,0.99,0.9902,0.9911,0.9913,0.9913,0.9913,0.9913,0.9915,0.9916,0.9916,0.9919,0.992,0.9925,0.9925,0.9928,0.993,0.9932,0.9935,0.9937,0.994,0.9941,0.9943
0.5771,0.7112,0.7852,0.8123,0.8245,0.8383,0.8478,0.8526,0.8624,0.865,0.8703,0.8772,0.8807,0.8831,0.8863,0.888,0.89,0.892,0.8937,0.8952,0.8967,0.8977,0.8993,0.9011,0.902,0.9034,0.9042,0.9041,0.9055,0.9056,0.9066,0.9073,0.9083,0.9082,0.9093,0.9095,0.91,0.911,0.9119,0.9123,0.9133,0.9144,0.9151,0.9159,0.9164,0.9168,0.917,0.9182,0.9187,0.9191
0.711,0.8823,0.9125,0.9235,0.933,0.9398,0.9444,0.9485,0.9521,0.9545,0.9578,0.9609,0.9628,0.9645,0.9657,0.9669,0.9679,0.9687,0.9697,0.9705,0.9713,0.9723,0.9725,0.9733,0.9743,0.9742,0.9746,0.9753,0.9756,0.9758,0.9761,0.9768,0.9772,0.9774,0.9781,0.9784,0.9783,0.978,0.9776,0.977,0.9766,0.9765,0.9769,0.9779,0.9791,0.9803,0.9807,0.9808,0.9806,0.9807
0.5931,0.7205,0.771,0.796,0.8137,0.8306,0.8475,0.8587,0.8645,0.87,0.874,0.8738,0.8747,0.8656,0.7472,0.8518,0.8741,0.8842,0.8842,0.8897,0.8943,0.8973,0.9003,0.9021,0.9024,0.9032,0.9039,0.9047,0.9062,0.906,0.9055,0.9055,0.905,0.9044,0.9054,0.9043,0.9039,0.9045,0.9051,0.9032,0.9036,0.905,0.9061,0.9068,0.9077,0.9077,0.9095,0.9106,0.911,0.9119
0.748,0.8811,0.9175,0.9312,0.9377,0.9438,0.9476,0.9518,0.9546,0.9572,0.9593,0.9597,0.9619,0.9627,0.964,0.9643,0.9656,0.9674,0.9676,0.9686,0.9695,0.9699,0.9705,0.971,0.9714,0.9725,0.9727,0.9738,0.9745,0.9748,0.9754,0.9755,0.9765,0.9768,0.9772,0.978,0.9786,0.9793,0.9797,0.9798,0.9799,0.9802,0.9804,0.9805,0.9808,0.9808,0.9811,0.9814,0.9815,0.9818
0.7875,0.9041,0.9167,0.9281,0.9346,0.9399,0.9441,0.9464,0.9482,0.95,0.9523,0.9539,0.9546,0.9554,0.9557,0.9574,0.9587,0.9588,0.9604,0.9619,0.9618,0.9628,0.9635,0.9639,0.9642,0.9639,0.9643,0.9646,0.9651,0.9656,0.9655,0.9658,0.9664,0.9666,0.9672,0.9673,0.9676,0.9678,0.9683,0.9685,0.969,0.9695,0.9699,0.9704,0.9707,0.9708,0.971,0.9711,0.9711,0.9716
0.523,0.7318,0.7802,0.83,0.844,0.8505,0.8562,0.8602,0.8637,0.8668,0.8685,0.8702,0.8726,0.8747,0.8771,0.8798,0.8821,0.8831,0.8847,0.8858,0.8867,0.8881,0.8889,0.8898,0.8908,0.8914,0.8918,0.8925,0.8933,0.8941,0.8944,0.8955,0.8964,0.897,0.8978,0.898,0.8988,0.8995,0.9002,0.9005,0.901,0.9015,0.9008,0.9012,0.9021,0.9031,0.9027,0.9033,0.9039,0.9049
0.83,0.894,0.918,0.936,0.94,0.939,0.945,0.949,0.95,0.954,0.954,0.955,0.958,0.959,0.96,0.959,0.958,0.959,0.959,0.961,0.961,0.96,0.958,0.958,0.956,0.955,0.954,0.957,0.958,0.959,0.956,0.954,0.955,0.955,0.954,0.956,0.958,0.958,0.96,0.959,0.958,0.958,0.958,0.959,0.962,0.959,0.959,0.964,0.964,0.964
0.557,0.696,0.758,0.785,0.795,0.808,0.811,0.814,0.821,0.824,0.831,0.834,0.838,0.84,0.85,0.853,0.858,0.861,0.865,0.867,0.869,0.872,0.871,0.871,0.873,0.872,0.869,0.868,0.867,0.865,0.869,0.868,0.867,0.868,0.869,0.869,0.871,0.871,0.87,0.87,0.87,0.871,0.867,0.869,0.867,0.869,0.867,0.868,0.87,0.869
0.707,0.883,0.908,0.923,0.925,0.928,0.933,0.936,0.937,0.939,0.941,0.943,0.945,0.949,0.949,0.948,0.945,0.944,0.946,0.944,0.944,0.945,0.947,0.947,0.944,0.947,0.946,0.946,0.948,0.946,0.946,0.946,0.944,0.943,0.945,0.945,0.945,0.945,0.944,0.943,0.943,0.942,0.941,0.942,0.944,0.941,0.938,0.937,0.94,0.937
