0.7453,0.9093,0.9338,0.9459,0.9543,0.9611,0.9665,0.9692,0.9729,0.9736,0.9748,0.9762,0.9773,0.9789,0.9795,0.9803,0.9806,0.981,0.9812,0.982,0.9824,0.9831,0.9835,0.9842,0.9848,0.986,0.9862,0.9868,0.9872,0.9875,0.9879,0.9886,0.9891,0.9896,0.9898,0.9903,0.9905,0.9908,0.991,0.9911,0.9911,0.9913,0.9918,0.992,0.9921,0.9923,0.9924,0.9926,0.9928,0.9928,0.9928,0.993,0.9932,0.9932,0.9933,0.9936,0.9937,0.9939,0.9937,0.9941,0.994,0.9942,0.9941,0.9943,0.9945,0.9941,0.9946,0.9943,0.9944,0.9947,0.9948,0.9949,0.9948,0.995,0.995,0.9948,0.9951,0.9951,0.9944,0.9952,0.9951,0.9952,0.9953,0.9953,0.9953,0.9953,0.9952,0.9953,0.9952,0.9861,0.9935,0.9954,0.9957,0.9958,0.9957,0.9959,0.996,0.996,0.996,0.996
0.4428,0.6343,0.6956,0.7317,0.7531,0.767,0.7776,0.8376,0.8534,0.8624,0.8679,0.8751,0.8799,0.8851,0.8885,0.8919,0.8943,0.8957,0.8985,0.9002,0.9027,0.9042,0.9064,0.9074,0.9091,0.9101,0.9107,0.912,0.9117,0.9127,0.9121,0.9132,0.9137,0.9141,0.9148,0.9153,0.9156,0.9165,0.9175,0.9181,0.9186,0.919,0.9199,0.9204,0.921,0.922,0.9226,0.9226,0.9233,0.9238,0.924,0.9237,0.924,0.9232,0.9237,0.9241,0.924,0.9243,0.9254,0.926,0.926,0.9269,0.9281,0.9281,0.9281,0.9272,0.9276,0.9279,0.9274,0.9275,0.9261,0.9264,0.9245,0.9244,0.9253,0.9255,0.9262,0.9271,0.9266,0.9272,0.9274,0.9273,0.9264,0.9263,0.9261,0.9253,0.9253,0.926,0.9255,0.9263,0.9265,0.9265,0.9267,0.9265,0.9256,0.9266,0.9275,0.9267,0.927,0.927
0.4065,0.5217,0.6331,0.7058,0.7421,0.7648,0.7786,0.7912,0.8,0.8092,0.8138,0.818,0.823,0.827,0.8319,0.8355,0.8382,0.841,0.8429,0.8398,0.8423,0.8447,0.8453,0.844,0.8476,0.8528,0.8151,0.8138,0.8384,0.8563,0.8584,0.8232,0.8167,0.8199,0.8428,0.8588,0.8634,0.8652,0.8567,0.8669,0.7984,0.863,0.8702,0.8688,0.8569,0.8585,0.8675,0.865,0.8756,0.8618,0.8691,0.8723,0.876,0.8784,0.8719,0.8819,0.8833,0.8811,0.8845,0.8816,0.8792,0.882,0.8816,0.8864,0.8859,0.8646,0.8855,0.8867,0.8888,0.892,0.8926,0.8944,0.8954,0.8948,0.8965,0.8972,0.8939,0.8991,0.8964,0.8974,0.901,0.9005,0.9045,0.8564,0.2056,0.2555,0.2352,0.1069,0.1938,0.7537,0.8287,0.8488,0.8701,0.8824,0.8898,0.8922,0.8945,0.8964,0.898,0.9005
0.2328,0.4185,0.5544,0.6534,0.715,0.7787,0.8101,0.8233,0.8328,0.8387,0.8433,0.8481,0.8512,0.8541,0.8578,0.8601,0.8631,0.8645,0.8657,0.8674,0.8687,0.8698,0.8709,0.8711,0.8723,0.8732,0.8739,0.8758,0.8764,0.8776,0.8786,0.8798,0.8798,0.8801,0.8797,0.8806,0.8811,0.8821,0.8825,0.8827,0.8834,0.8843,0.885,0.8849,0.8854,0.8857,0.8864,0.8863,0.8869,0.8881,0.8874,0.888,0.8887,0.8896,0.8904,0.891,0.8918,0.8918,0.8928,0.8937,0.8945,0.8947,0.8946,0.8948,0.8951,0.8955,0.8955,0.896,0.8966,0.8969,0.8974,0.8978,0.8979,0.8986,0.8985,0.8989,0.8991,0.8993,0.8994,0.8996,0.8999,0.9002,0.9005,0.9006,0.9009,0.9009,0.9012,0.9013,0.9012,0.9013,0.9014,0.9016,0.9018,0.9016,0.902,0.9022,0.9028,0.9034,0.9034,0.9034
0.708,0.903,0.925,0.939,0.947,0.947,0.951,0.95,0.954,0.956,0.956,0.956,0.958,0.958,0.959,0.959,0.957,0.956,0.957,0.957,0.958,0.958,0.958,0.958,0.959,0.966,0.967,0.966,0.963,0.965,0.963,0.965,0.966,0.968,0.969,0.971,0.969,0.97,0.97,0.969,0.968,0.968,0.968,0.968,0.969,0.971,0.97,0.969,0.971,0.971,0.971,0.97,0.971,0.973,0.973,0.972,0.972,0.972,0.97,0.972,0.971,0.97,0.97,0.969,0.971,0.976,0.974,0.972,0.974,0.975,0.972,0.973,0.972,0.973,0.973,0.973,0.973,0.974,0.974,0.972,0.972,0.972,0.975,0.972,0.975,0.973,0.975,0.977,0.973,0.955,0.973,0.978,0.977,0.978,0.979,0.977,0.977,0.978,0.978,0.978
0.44,0.632,0.684,0.727,0.749,0.76,0.77,0.829,0.847,0.855,0.862,0.869,0.872,0.876,0.876,0.883,0.882,0.883,0.882,0.881,0.884,0.886,0.889,0.891,0.891,0.892,0.893,0.895,0.895,0.893,0.894,0.893,0.892,0.892,0.894,0.894,0.892,0.889,0.89,0.888,0.89,0.89,0.89,0.889,0.889,0.891,0.892,0.894,0.895,0.896,0.895,0.893,0.891,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.893,0.894,0.897,0.898,0.897,0.897,0.898,0.899,0.898,0.898,0.896,0.898,0.899,0.899,0.898,0.898,0.899,0.899,0.9,0.9,0.9,0.899,0.899,0.898,0.901,0.899,0.895,0.894,0.893,0.893,0.893,0.892,0.893,0.893,0.894,0.894,0.894,0.894,0.894,0.895
0.411,0.511,0.639,0.701,0.72,0.733,0.747,0.765,0.772,0.776,0.78,0.782,0.789,0.796,0.802,0.807,0.81,0.812,0.816,0.821,0.823,0.821,0.82,0.823,0.822,0.826,0.795,0.791,0.812,0.828,0.836,0.799,0.789,0.79,0.81,0.824,0.828,0.835,0.823,0.824,0.788,0.833,0.829,0.827,0.82,0.825,0.83,0.835,0.84,0.828,0.84,0.849,0.844,0.837,0.851,0.846,0.849,0.848,0.85,0.85,0.853,0.855,0.855,0.857,0.856,0.848,0.844,0.844,0.85,0.853,0.856,0.852,0.86,0.857,0.863,0.861,0.852,0.866,0.853,0.854,0.862,0.858,0.864,0.831,0.194,0.247,0.224,0.117,0.212,0.737,0.798,0.808,0.826,0.844,0.843,0.851,0.858,0.861,0.865,0.87
0.223,0.414,0.562,0.678,0.728,0.775,0.797,0.812,0.822,0.826,0.828,0.833,0.836,0.839,0.84,0.844,0.849,0.853,0.851,0.852,0.856,0.858,0.861,0.862,0.861,0.861,0.862,0.864,0.868,0.869,0.869,0.869,0.87,0.873,0.873,0.872,0.871,0.871,0.871,0.871,0.873,0.873,0.873,0.874,0.873,0.872,0.873,0.874,0.875,0.874,0.876,0.877,0.879,0.878,0.879,0.879,0.88,0.881,0.88,0.882,0.883,0.883,0.883,0.883,0.883,0.882,0.883,0.884,0.884,0.884,0.883,0.882,0.882,0.882,0.882,0.882,0.883,0.883,0.884,0.884,0.884,0.884,0.884,0.885,0.886,0.886,0.887,0.887,0.886,0.885,0.885,0.885,0.885,0.884,0.884,0.884,0.885,0.884,0.885,0.885
0.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
