0.9845,0.9936,0.997,0.998,0.999,0.9995,0.9995,0.9996,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9998,0.9939,0.9831,0.997,0.9985,0.999,0.9995,0.9995,0.9996,0.9996,0.9996,0.9996,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9991,0.9972,0.9958,0.9982,0.9995,0.9994,0.9998,0.9998,0.9998,0.9998,0.9998
0.217,0.2198,0.2226,0.2232,0.226,0.2265,0.2263,0.2264,0.2284,0.2284,0.2284,0.2283,0.2282,0.2283,0.2288,0.229,0.2288,0.2283,0.2288,0.2291,0.2296,0.2302,0.2302,0.2305,0.2308,0.2311,0.2309,0.2307,0.2305,0.2301,0.2302,0.2302,0.2298,0.2297,0.2298,0.2296,0.2295,0.2295,0.2295,0.2295,0.2297,0.2292,0.2293,0.2291,0.2293,0.2294,0.2295,0.2296,0.2295,0.2293
0.9535,0.9749,0.984,0.989,0.9924,0.9952,0.9965,0.9971,0.9976,0.9979,0.9981,0.9984,0.9986,0.9987,0.9989,0.999,0.999,0.999,0.9992,0.9993,0.9993,0.9994,0.9994,0.9995,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996
0.9688,0.982,0.989,0.9928,0.9946,0.9956,0.9965,0.997,0.9976,0.9978,0.9981,0.9983,0.9985,0.9986,0.9988,0.9988,0.9989,0.999,0.9991,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9993,0.9993,0.9993,0.9993,0.9993,0.9993,0.9993,0.9993,0.9993,0.9993,0.9993,0.9993,0.9993,0.9993
0.297,0.3078,0.3186,0.3313,0.3414,0.3445,0.3483,0.3506,0.3542,0.3547,0.356,0.3569,0.3569,0.3579,0.36,0.3634,0.366,0.3708,0.3754,0.378,0.3816,0.3852,0.3875,0.3905,0.3949,0.3978,0.4006,0.3995,0.4009,0.4019,0.4016,0.3991,0.4019,0.4047,0.4055,0.4077,0.4085,0.4069,0.4065,0.4059,0.4056,0.405,0.4045,0.405,0.4048,0.4054,0.406,0.406,0.407,0.4069
0.975,0.978,0.983,0.982,0.986,0.986,0.984,0.985,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.978,0.972,0.984,0.977,0.983,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.989,0.989,0.988,0.988,0.988,0.988,0.987,0.986,0.982,0.981,0.984,0.985,0.983,0.988,0.987,0.987,0.987,0.987
0.216,0.229,0.24,0.24,0.235,0.237,0.237,0.236,0.233,0.238,0.238,0.237,0.234,0.232,0.232,0.232,0.231,0.232,0.232,0.23,0.229,0.228,0.227,0.227,0.229,0.228,0.229,0.229,0.229,0.229,0.23,0.228,0.228,0.228,0.228,0.228,0.228,0.229,0.229,0.229,0.229,0.227,0.227,0.226,0.226,0.226,0.226,0.227,0.227,0.227
0.949,0.966,0.97,0.971,0.973,0.977,0.976,0.976,0.977,0.98,0.979,0.979,0.976,0.98,0.979,0.979,0.978,0.978,0.978,0.978,0.978,0.98,0.977,0.977,0.979,0.981,0.981,0.981,0.981,0.98,0.98,0.98,0.98,0.98,0.98,0.981,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
0.952,0.962,0.968,0.972,0.975,0.974,0.975,0.973,0.975,0.977,0.977,0.974,0.976,0.976,0.975,0.975,0.975,0.976,0.976,0.976,0.975,0.976,0.976,0.976,0.976,0.976,0.977,0.977,0.977,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.975,0.978,0.978,0.977,0.977,0.977,0.977,0.978,0.977,0.978,0.978,0.978,0.978,0.978
0.282,0.293,0.309,0.32,0.333,0.332,0.336,0.336,0.341,0.342,0.343,0.344,0.347,0.348,0.349,0.35,0.36,0.365,0.365,0.369,0.369,0.379,0.382,0.384,0.384,0.385,0.387,0.392,0.388,0.39,0.388,0.393,0.39,0.402,0.394,0.392,0.396,0.397,0.398,0.395,0.395,0.393,0.39,0.39,0.39,0.392,0.391,0.391,0.391,0.391
0.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
