0.9799,0.9914,0.9951,0.997,0.9986,0.9992,0.9994,0.9996,0.9996,0.9996,0.9997,0.9997,0.9994,0.9949,0.9989,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9982,0.9928,0.9985,0.9995,0.9997,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
0.1771,0.1841,0.1986,0.2046,0.2062,0.2069,0.2069,0.2075,0.2076,0.2076,0.2077,0.2077,0.2077,0.2076,0.2076,0.2074,0.2073,0.2073,0.2073,0.2074,0.2073,0.2071,0.2071,0.2071,0.2071,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.2069,0.2069,0.2069,0.2068,0.2067,0.2066,0.2067,0.2067,0.2067,0.2067,0.2068,0.2068,0.2067,0.2068,0.2068,0.2068,0.2068
0.8877,0.9718,0.9816,0.9872,0.9905,0.9931,0.995,0.9963,0.9966,0.9973,0.9974,0.9979,0.9982,0.9985,0.9987,0.9987,0.9991,0.9992,0.9992,0.9992,0.9993,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997
0.9542,0.9734,0.9805,0.9851,0.9882,0.9906,0.9927,0.9939,0.9944,0.9958,0.9961,0.9963,0.9966,0.9969,0.9971,0.9974,0.9976,0.9977,0.9981,0.9982,0.9983,0.9983,0.9986,0.9987,0.9987,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9989,0.9989,0.9989,0.9989,0.999,0.999,0.9991,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992
0.2033,0.2044,0.2053,0.2057,0.2064,0.2072,0.2077,0.2081,0.2084,0.2088,0.2097,0.2099,0.2109,0.2114,0.2112,0.2117,0.2116,0.2112,0.2112,0.2108,0.2109,0.2109,0.2113,0.2113,0.2112,0.2115,0.2116,0.2117,0.2119,0.2121,0.2121,0.2119,0.212,0.212,0.2119,0.2121,0.2118,0.2121,0.212,0.2121,0.2121,0.2122,0.2123,0.2122,0.2123,0.2123,0.2123,0.2123,0.2124,0.2124
0.972,0.98,0.984,0.983,0.987,0.989,0.991,0.992,0.991,0.991,0.99,0.988,0.989,0.98,0.985,0.981,0.99,0.992,0.992,0.992,0.992,0.992,0.992,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.992,0.992,0.992,0.994,0.984,0.97,0.982,0.989,0.99,0.989,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.17,0.178,0.196,0.203,0.208,0.208,0.208,0.208,0.208,0.209,0.209,0.209,0.209,0.209,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208
0.873,0.958,0.968,0.969,0.972,0.974,0.976,0.974,0.977,0.98,0.978,0.982,0.982,0.981,0.982,0.981,0.983,0.983,0.985,0.982,0.982,0.979,0.982,0.982,0.982,0.984,0.984,0.983,0.983,0.984,0.981,0.984,0.985,0.984,0.984,0.984,0.985,0.984,0.984,0.984,0.984,0.984,0.985,0.984,0.984,0.985,0.984,0.985,0.985,0.985
0.945,0.959,0.963,0.967,0.971,0.973,0.977,0.978,0.975,0.975,0.975,0.975,0.975,0.976,0.977,0.978,0.978,0.979,0.979,0.98,0.979,0.978,0.978,0.979,0.978,0.978,0.978,0.979,0.979,0.979,0.979,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981
0.188,0.188,0.186,0.188,0.188,0.189,0.19,0.193,0.193,0.191,0.193,0.194,0.193,0.194,0.193,0.194,0.195,0.196,0.196,0.195,0.196,0.196,0.196,0.197,0.197,0.197,0.197,0.197,0.196,0.196,0.196,0.197,0.197,0.199,0.199,0.198,0.199,0.199,0.198,0.198,0.198,0.199,0.199,0.199,0.198,0.199,0.199,0.199,0.199,0.199
0.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
